"filename", "language", "Ignore", "TypeScript", "JSON with Comments", "JSON", "TypeScript JSX", "XML", "CSS", "JavaScript JSX", "Markdown", "HTML", "C#", "Properties", "comment", "blank", "total"
"c:\Git\videoportal2\frontend\src\routes\Channel\ChannelVideos.tsx", "TypeScript JSX", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 6, 57
"c:\Git\videoportal2\frontend\src\routes\ErrorPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Git\videoportal2\frontend\src\routes\HomePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 2, 5, 72
"c:\Git\videoportal2\frontend\src\routes\MyChannels.tsx", "TypeScript JSX", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"c:\Git\videoportal2\frontend\src\routes\MyVideos.tsx", "TypeScript JSX", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 1, 6, 74
"c:\Git\videoportal2\frontend\src\routes\Playlist.tsx", "TypeScript JSX", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 8, 66
"c:\Git\videoportal2\frontend\src\routes\Root.tsx", "TypeScript JSX", 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 10, 101
"c:\Git\videoportal2\frontend\src\routes\SearchResult.tsx", "TypeScript JSX", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 3, 5, 73
"c:\Git\videoportal2\frontend\src\routes\Users\UserEdit.tsx", "TypeScript JSX", 0, 0, 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 10, 195
"c:\Git\videoportal2\frontend\src\routes\Users\UsersEdit.tsx", "TypeScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 1, 7, 71
"c:\Git\videoportal2\frontend\src\routes\VideoDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 289, 0, 0, 0, 0, 0, 0, 0, 3, 17, 309
"c:\Git\videoportal2\frontend\src\routes\VideoEdit.tsx", "TypeScript JSX", 0, 0, 0, 0, 313, 0, 0, 0, 0, 0, 0, 0, 7, 15, 335
"c:\Git\videoportal2\frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Git\videoportal2\frontend\tsconfig.json", "JSON with Comments", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 40
"c:\Git\videoportal2\frontend\vite.config.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 10
"Total", "-", 1, 4541, 28, 171, 4674, 29, 34, 36, 163, 30, 4564, 1, 578, 2216, 17066
